id,name,side,count,grouping,image,summary,tip,source_url
1,Bullish Engulfing,Bullish,2,ขาขึ้น 2 ตัว,https://placehold.co/640x360/9db7ff/0f172a?text=Bullish+Engulfing,"แท่งเขียวกลืนแท่งแดงก่อนหน้า เป็นสัญญาณกลับตัวขึ้น","ให้เกิดหลังจากลง ถ้าวอลุ่มมากยิ่งดี",https://www.investopedia.com/terms/b/bullishengulfingpattern.asp
2,Hammer,Bullish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/bff7ff/0f172a?text=Hammer,"ไส้ล่างยาว ลำตัวเล็ก เกิดช่วงปลายขาลง","รอแท่งเขียวยืนยัน ใช้ใกล้แนวรับ",https://www.investopedia.com/terms/h/hammer.asp
3,Morning Star,Bullish,3,ขาขึ้น 3 ตัว,https://placehold.co/640x360/e0f2fe/0f172a?text=Morning+Star,"แดงใหญ่ → ดาว → เขียวใหญ่ กลับตัวขึ้นแรง","แท่งที่ 3 ควรปิดทะลุกึ่งกลางแท่งแรก",https://www.investopedia.com/terms/m/morningstar.asp
4,Piercing Pattern,Bullish,2,ขาขึ้น 2 ตัว,https://placehold.co/640x360/dbeafe/0f172a?text=Piercing,"แท่งเขียวเปิดต่ำแล้วปิดทะลุกลางแท่งแดงก่อนหน้า","ใช้ตอนย่อในขาขึ้น ดีมากถ้าชนเส้นเฉลี่ย",https://www.investopedia.com/terms/p/piercingpattern.asp
5,Three White Soldiers,Bullish,3,ขาขึ้น 3 ตัว,https://placehold.co/640x360/c7d2fe/0f172a?text=3+White+Soldiers,"เขียว 3 แท่งเรียง ปิดสูงขึ้นเรื่อยๆ แรงซื้อชัด","อย่าไล่ถ้าเกิดสูงเกิน ดูวอลุ่มประกอบ",https://www.investopedia.com/terms/t/three_white_soldiers.asp
6,Bearish Engulfing,Bearish,2,ขาลง 2 ตัว,https://placehold.co/640x360/fecdd3/0f172a?text=Bearish+Engulfing,"แท่งแดงกลืนแท่งเขียวก่อนหน้า สัญญาณกลับตัวลง","ให้เกิดใกล้แนวต้าน วอลุ่มสูงยิ่งดี",https://www.investopedia.com/terms/b/bearishengulfingp.asp
7,Shooting Star,Bearish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/fee2e2/0f172a?text=Shooting+Star,"ไส้บนยาว ตัวเล็ก เกิดบนยอด ราคาโดนกดลง","ต้องเกิดบนแนวต้าน รอแท่งแดงตาม",,
8,Evening Star,Bearish,3,ขาลง 3 ตัว,https://placehold.co/640x360/fef3c7/0f172a?text=Evening+Star,"เขียวใหญ่ → ดาว → แดงใหญ่ กลับตัวลงเชื่อถือได้","แท่งที่ 3 ควรปิดต่ำกว่ากลางแท่งแรก",https://www.investopedia.com/terms/e/eveningstar.asp
9,Hanging Man,Bearish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/ffe4e6/0f172a?text=Hanging+Man,"ไส้ล่างยาว ตัวเล็ก เกิดบนยอด แรงขายเริ่มมา","ต้องมีแท่งแดงตามเพื่อยืนยัน",,
10,Three Black Crows,Bearish,3,ขาลง 3 ตัว,https://placehold.co/640x360/fda4af/0f172a?text=3+Black+Crows,"แดง 3 แท่งเรียงลงต่อเนื่อง แสดงแรงขายหนัก","ใช้ได้ดีถ้าเกิดหลังจากราคานิ่งด้านบน",https://www.investopedia.com/terms/t/three_black_crows.asp
